dataset_source,scenario,instance_id,seed,solver_calls,total_travel,total_lateness,unserved,served_ratio,objective,runtime_total_seconds,route_nervousness,feasible
euro_neurips_2022,static,enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22,0,1,3951.0,0.0,45,0.8611111111111112,456440.0,29.99992226390168,0.0,True
euro_neurips_2022,continuous,enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22,0,101,4071.0,0.0,45,0.8611111111111112,456560.0,3030.099728964269,0.0,True
euro_neurips_2022,aet_rag,enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22,42,46,4071.0,0.0,45,0.8611111111111112,456560.0,1380.0450659794733,0.5252525252525253,True
euro_neurips_2022,static,enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20,0,1,3263.0,0.0,10,0.9694189602446484,106519.0,30.000903682783246,0.0,True
euro_neurips_2022,continuous,enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20,0,101,3378.0,0.0,14,0.9571865443425076,146595.0,3030.102524041664,0.0,True
euro_neurips_2022,aet_rag,enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20,42,28,3251.0,0.0,10,0.9694189602446484,106523.0,840.0276595922187,0.3838383838383838,True
euro_neurips_2022,static,enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18,0,1,1788.0,0.0,3,0.9881889763779528,35093.0,30.000310027971864,0.0,True
euro_neurips_2022,continuous,enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18,0,101,1691.0,0.0,3,0.9881889763779528,35003.0,3030.237337247934,0.0,True
euro_neurips_2022,aet_rag,enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18,42,24,1837.0,0.0,4,0.984251968503937,45129.0,720.0249997763894,0.32323232323232326,True
euro_neurips_2022,static,enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20,0,1,2612.0,0.0,5,0.9840255591054313,55681.0,30.001199298072606,0.0,True
euro_neurips_2022,continuous,enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20,0,101,2738.0,0.0,4,0.9872204472843451,45815.0,3030.190201244317,0.0,True
euro_neurips_2022,aet_rag,enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20,42,47,2738.0,0.0,4,0.9872204472843451,45815.0,1410.1571568674408,0.4444444444444444,True
